Î»ÖÃ£¨mm£©,±¶ÂÊ
0,1.1
0.1,1.2
0.2,1.3
0.3,1.4
0.4,1.5
0.5,1.6
0.6,1.7
0.7,1.8
0.8,1.9
0.9,2
1,2.1
1.1,2.2
1.2,2.3
1.3,2.4
1.4,2.5
1.5,2.6
1.6,2.7
1.7,2.8
1.8,2.9
1.9,3
2,3.1
2.1,3.2
2.2,3.3
2.3,3.4
2.4,3.5
2.5,3.6
2.6,3.7
2.7,3.8
2.8,3.9
2.9,4
3,4.1
3.1,4.2
3.2,4.3
3.3,4.4
3.4,4.5
3.5,4.6
3.6,4.7
3.7,4.8
3.8,4.9
3.9,5
4,5.1
4.1,5.2
4.2,5.3
4.3,5.4
4.4,5.5
4.5,5.6
4.6,5.7
4.7,5.8
4.8,5.9
4.9,6
5,6.1
5.1,6.2
5.2,6.3
5.3,6.4
5.4,6.5
5.5,6.6
5.6,6.7
5.7,6.8
5.8,6.9
5.9,7
6,7.1
6.1,7.2
6.2,7.3
6.3,7.4
6.4,7.5
6.5,7.6
6.6,7.7
6.7,7.8
6.8,7.9
6.9,8
7,8.1
7.1,8.2
7.2,8.3
7.3,8.4
7.4,8.5
7.5,8.6
7.6,8.7
7.7,8.8
7.8,8.9
7.9,9
8,9.1
8.1,9.2
8.2,9.3
8.3,9.4
8.4,9.5
8.5,9.6
8.6,9.7
8.7,9.8
8.8,9.9
8.9,10
9,10.1
9.1,10.2
9.2,10.3
9.3,10.4
9.4,10.5
9.5,10.6
9.6,10.7
9.7,10.8
9.8,10.9
9.9,11
10,11.1
10.1,11.2
10.2,11.3
10.3,11.4
10.4,11.5
10.5,11.6
10.6,11.7
10.7,11.8
10.8,11.9
10.9,12
11,12.1
11.1,12.2
11.2,12.3
11.3,12.4
11.4,12.5
11.5,12.6
11.6,12.7
11.7,12.8
11.8,12.9
11.9,13
12,13.1
12.1,13.2
12.2,13.3
12.3,13.4
12.4,13.5
12.5,13.6
12.6,13.7
12.7,13.8
12.8,13.9
12.9,14
13,14.1
13.1,14.2
13.2,14.3
13.3,14.4
13.4,14.5
13.5,14.6
13.6,14.7
13.7,14.8
13.8,14.9
13.9,15
14,15.1
14.1,15.2
14.2,15.3
14.3,15.4
14.4,15.5
14.5,15.6
14.6,15.7
14.7,15.8
14.8,15.9
14.9,16
15,16.1
15.1,16.2
15.2,16.3
15.3,16.4
15.4,16.5
15.5,16.6
15.6,16.7
15.7,16.8
15.8,16.9
15.9,17
16,17.1
16.1,17.2
16.2,17.3
16.3,17.4
16.4,17.5
16.5,17.6
16.6,17.7
16.7,1
16.8,1
16.9,1
17,1
17.1,1
17.2,1
17.3,1
17.4,1
17.5,1
17.6,1
17.7,1
17.8,1
17.9,1
18,1
18.1,1
18.2,1
18.3,1
18.4,1
18.5,1
18.6,1
18.7,1
18.8,1
18.9,1
19,1
19.1,1
19.2,1
19.3,1
19.4,1
19.5,1
19.6,1
19.7,1
19.8,1
19.9,1
20,1
20.1,1
20.2,1
20.3,1
20.4,1
20.5,1
20.6,1
20.7,1
20.8,1
20.9,1
21,1
21.1,1
21.2,1
21.3,1
21.4,1
21.5,1
21.6,1
21.7,1
21.8,1
21.9,1
22,1
22.1,1
22.2,1
22.3,1
22.4,1
22.5,1
22.6,1
22.7,1
22.8,1
22.9,1
23,1
23.1,1
23.2,1
23.3,1
23.4,1
23.5,1
23.6,1
23.7,1
23.8,1
23.9,1
24,1
24.1,1
24.2,1
24.3,1
24.4,1
24.5,1
24.6,1
24.7,1
24.8,1
24.9,1
25,1
25.1,1
25.2,1
25.3,1
25.4,1
25.5,1
25.6,1
25.7,1
25.8,1
25.9,1
26,1
26.1,1
26.2,1
26.3,1
26.4,1
26.5,1
26.6,1
26.7,1
26.8,1
26.9,1
27,1
27.1,1
27.2,1
27.3,1
27.4,1
27.5,1
27.6,1
27.7,1
27.8,1
27.9,1
28,1
28.1,1
28.2,1
28.3,1
28.4,1
28.5,1
28.6,1
28.7,1
28.8,1
28.9,1
29,1
29.1,1
29.2,1
29.3,1
29.4,1
29.5,1
29.6,1
29.7,1
29.8,1
29.9,1
30,1
30.1,1
30.2,1
30.3,1
30.4,1
30.5,1
30.6,1
30.7,1
30.8,1
30.9,1
31,1
31.1,1
31.2,1
31.3,1
31.4,1
31.5,1
31.6,1
31.7,1
31.8,1
31.9,1
32,1
32.1,1
32.2,1
32.3,1
32.4,1
32.5,1
32.6,1
32.7,1
32.8,1
32.9,1
33,1
33.1,1
33.2,1
33.3,1
33.4,1
33.5,1
33.6,1
33.7,1
33.8,1
33.9,1
34,1
34.1,1
34.2,1
34.3,1
34.4,1
34.5,1
34.6,1
34.7,1
34.8,1
34.9,1
35,1
35.1,1
35.2,1
35.3,1
35.4,1
35.5,1
35.6,1
35.7,1
35.8,1
35.9,1
36,1
36.1,1
36.2,1
36.3,1
36.4,1
36.5,1
36.6,1
36.7,1
36.8,1
36.9,1
37,1
37.1,1
37.2,1
37.3,1
37.4,1
37.5,1
37.6,1
37.7,1
37.8,1
37.9,1
38,1
38.1,1
38.2,1
38.3,1
38.4,1
38.5,1
38.6,1
38.7,1
38.8,1
38.9,1
39,1
39.1,1
39.2,1
39.3,1
39.4,1
39.5,1
39.6,1
39.7,1
39.8,1
39.9,1
40,1
40.1,1
40.2,1
40.3,1
40.4,1
40.5,1
40.6,1
40.7,1
40.8,1
40.9,1
41,1
41.1,1
41.2,1
41.3,1
41.4,1
41.5,1
41.6,1
41.7,1
