Alignment Data,,,
x,y,z,zd
6.000891353,0.001041294,2.494169728,-2.92288E-05
5.986805419,0.001030821,2.479267917,-5.75505E-05
5.977731046,0.001025489,2.469741893,-5.94273E-05
5.970827467,0.001026944,2.462504523,-8.08712E-05
5.960622687,0.001040911,2.451934733,-3.08604E-05
5.949300354,0.001040958,2.44021198,-3.51988E-05
5.939057712,0.001052142,2.429679958,-2.38375E-05
5.928381888,0.001045694,2.418726571,-4.53559E-05
5.917907407,0.001044175,2.408052345,-5.00988E-05
5.910786564,0.00103342,2.400843027,-3.74224E-05
5.900157678,0.001033294,2.390125717,-2.16199E-05
5.889832527,0.001028822,2.379748774,-2.51657E-05
5.879165934,0.001019151,2.369087458,-2.41886E-05
5.868849096,0.001019309,2.358816499,-3.41542E-05
5.858459251,0.001022443,2.348526206,-4.15548E-05
5.847746784,0.00103216,2.337970629,-4.75537E-05
5.840670635,0.001038271,2.33104882,-2.97804E-05
5.830253996,0.001045571,2.320881943,-0.00002252
5.819613809,0.001046544,2.310551275,-1.11269E-05
5.809189718,0.001043446,2.300470598,-8.5917E-06
5.798658732,0.00104043,2.290314224,-0.000026804
5.788158796,0.001034162,2.280261096,-0.000019558
5.781015266,0.001044169,2.273439285,-0.000023934
5.770524215,0.001045083,2.263464159,-2.61805E-05
5.759978627,0.001057587,2.253499134,-0.000013071
5.749524326,0.001053047,2.243651387,-0.000014612
5.738997288,0.001055462,2.233779051,-1.75325E-05
5.728649518,0.00102634,2.2241035,-0.000035516
5.718036163,0.001031112,2.214236962,-4.11968E-05
5.710901771,0.0010379,2.207632133,-4.25782E-05
5.700434391,0.001033735,2.197977726,-4.47553E-05
5.689952542,0.001039844,2.188363244,-3.63331E-05
5.679279219,0.001039896,2.178603986,-4.02812E-05
5.668937436,0.00104298,2.169190206,-4.30637E-05
5.658360712,0.001027723,2.159613294,-3.67469E-05
5.647946676,0.001032775,2.150239106,-1.57373E-05
5.640854258,0.001020466,2.143856081,-2.30647E-05
5.630342229,0.001017754,2.134462143,-9.927E-07
5.619776353,0.001035019,2.125009473,-2.96247E-05
5.609186001,0.00103084,2.115595179,-3.80611E-05
5.59877155,0.001047589,2.106386157,-3.61108E-05
5.588343941,0.001042355,2.09719334,-4.43194E-05
5.577729922,0.001053584,2.087907042,-2.04759E-05
5.570796777,0.001052499,2.081840923,-2.60124E-05
5.560121738,0.001032243,2.072522442,-4.48882E-05
5.549592615,0.001034075,2.063391109,-0.000041332
5.539142486,0.001037987,2.054370242,-3.23937E-05
5.528620777,0.001050941,2.045313155,-0.000034248
5.51816419,0.00105315,2.036356874,-2.71961E-05
5.507790304,0.001066634,2.02750113,-2.54784E-05
5.500733709,0.001052796,2.021489243,-3.20206E-05
5.490197496,0.001037463,2.012570587,-1.35843E-05
5.479755224,0.001032827,2.003723386,-3.79458E-05
5.469169121,0.001018305,1.994805113,-4.66513E-05
5.458544435,0.001027273,1.9858811,-6.35263E-05
5.448138994,0.001026182,1.977198391,-0.000056475
5.437614142,0.001047076,1.968465859,-3.30215E-05
5.430637596,0.001044237,1.962678138,-0.000035128
5.420095883,0.001039361,1.95396514,-3.35695E-05
5.409596298,0.001045068,1.945321075,-3.07059E-05
5.399042676,0.001028676,1.936675937,-1.71047E-05
5.388442393,0.001028048,1.928006826,-2.19088E-05
5.37786689,0.001017449,1.919385979,-3.10901E-05
5.367388653,0.001027434,1.91091584,-4.051E-07
5.360395633,0.001031542,1.905252764,-7.5458E-06
5.349965829,0.001030551,1.896849364,-1.0198E-06
5.339391996,0.001043051,1.888312553,-4.29206E-05
5.328920761,0.001035915,1.879936567,-3.70755E-05
5.318328025,0.001043117,1.871495806,-0.000029539
5.307848816,0.001028716,1.863166432,-3.13855E-05
5.300888765,0.001033974,1.857664411,-1.89548E-05
5.29040324,0.001033556,1.849375348,-2.50239E-05
5.279876115,0.001032906,1.841089038,-2.51371E-05
5.269259327,0.001046785,1.832757927,-2.93427E-05
5.258682115,0.001035663,1.824501806,-1.91952E-05
5.248169282,0.001041731,1.81630326,-3.08443E-05
5.237780369,0.001036354,1.808264302,-7.6555E-06
5.230819903,0.001046087,1.802861535,-2.44757E-05
5.220195673,0.001046436,1.794672514,-1.65525E-05
5.209741106,0.001040518,1.786633276,-1.78669E-05
5.199103876,0.001059525,1.778485881,-1.53307E-05
5.188584304,0.001058436,1.77044419,-2.52351E-05
5.178187142,0.001068698,1.762530916,-2.73599E-05
5.167635755,0.001063396,1.754538223,-1.89832E-05
5.160579246,0.001062309,1.749179188,-4.24272E-05
5.150123306,0.00105955,1.741294947,-4.31429E-05
5.139522762,0.001051695,1.73334755,-0.000025198
5.129033381,0.00105504,1.725471133,-4.65981E-05
5.118609228,0.00105324,1.717711806,-0.00002599
5.107919656,0.001058404,1.70977498,-1.17753E-05
5.100841043,0.001073191,1.704501505,-0.000035046
5.090445079,0.001066867,1.696805903,-4.14398E-05
5.079990667,0.001066763,1.68911247,-2.80728E-05
5.069607932,0.0010643,1.681471469,-4.04014E-05
5.059110459,0.001047466,1.673799527,-2.48349E-05
5.048445427,0.001045514,1.665995831,-4.43906E-05
5.037834961,0.001040813,1.658297634,-2.41938E-05
5.027292267,0.001053803,1.65065635,-2.18476E-05
5.020312917,0.001055093,1.645627512,-0.000004429
5.010013563,0.001060808,1.638193027,-0.000012318
4.999388325,0.001075304,1.630559873,-8.8945E-06
4.988807178,0.001065496,1.622974589,-0.000014382
4.978321933,0.001048072,1.615508673,6.2318E-06
4.967686247,0.001031077,1.607949551,1.62038E-05
4.960613887,0.001026688,1.602919427,5.4731E-06
4.950235872,0.001028342,1.595568611,2.915E-07
4.939656842,0.001033866,1.588095035,-9.5543E-06
4.929131986,0.001042323,1.580674119,-2.90652E-05
4.918680699,0.001045327,1.573352369,-2.48176E-05
4.908204961,0.00106224,1.566022089,-3.55137E-05
4.897621399,0.001053231,1.558658512,-2.79911E-05
4.890605166,0.001029401,1.553785673,-2.73985E-05
4.880076359,0.001027266,1.546475302,-4.41065E-05
4.869634798,0.001016394,1.539280936,-2.83538E-05
4.859063812,0.001024844,1.531983093,-5.00407E-05
4.848524784,0.001023786,1.524759844,-4.23877E-05
4.838132809,0.001035663,1.517672652,-2.22076E-05
4.827566552,0.001040979,1.510446404,-4.48261E-05
4.820464652,0.001030899,1.50562284,-0.000039557
4.80990424,0.001039612,1.498469916,-3.12556E-05
4.799450773,0.001030665,1.491375639,-0.00005931
4.788989857,0.001035391,1.484347843,-3.81492E-05
4.778421927,0.001028414,1.477278175,-9.2998E-06
